"Project name: Hunted
Link to your TestRail account with test cases:https://ewatestrail1980.testrail.io/index.php?/suites/view/6&group_by=cases:section_id&group_order=asc&display=tree&display_deleted_cases=0",,,,
Lp.,Module name,Technical requirement,Test Case ID's,Total
1,Main page,Display of product info,C46,
2,Main page,Comparison section,C46,
3,Main page,CEO quotes,C46,
4,Main page,Partner logos,C46,
5,Main page,"CTA buttons (Sign up, Candidates list)",C46,
6,Main page,Registration form by email and social login,C47,
7,Main page,Links to Jobs/Web3 companies,C48,
8,Main page,User feedback section – displays at least 10 real user feedback en,C49,
9,Main page,Mobile app banner for logged-in users,C50,
10,Candidates List,Filter by role (logged-in users),C52,
11,Candidates List,Filter by technologies (logged-in users),C52,
12,Candidates List,Filter by desired base salary (annual/monthly),C52,
13,Candidates List,Filter by English level,C52,
14,Candidates List,Filter by candidate location (timezone/country/city),C52,
15,Candidates List,Hover-triggered sign-in prompt for logged-out users,C53,
16,Candidates List,Candidate profile – profile details visible,C54,
17,Candidates List,Candidate profile – contacts hidden before chat,C55,
18,Candidates List,Candidate profile – experience sorting,C56,
19,Candidates List,Candidate profile – “Show experience” expansion,C57,
20,Candidates List,Candidate profile – open profile in new tab,C58,
21,Candidates List,Candidate profile – start chat option (for recruiters),C59,
22,Candidates List,Candidate card preview – displays short summary of skills and achievements,C60,
23,Sign Up,Social login – Google,C61,
24,Sign Up,Social login – LinkedIn,C61,
25,Sign Up,Social login – GitHub,C61,
26,Sign Up,Recruiter registration – Position field,C62,
27,Sign Up,Recruiter registration – Company field,C63,
28,Sign Up,Recruiter registration – Contact information field,C64,
29,Sign Up,Recruiter registration – Candidate role field,C67,
30,Sign Up,Recruiter registration – Required technologies field,C66,
31,Sign Up,Recruiter registration – Salary field (annual/monthly),C68,
32,Sign Up,Recruiter registration – Years of experience field,C69,
33,Sign Up,Recruiter registration – English level field,C70,
34,Sign Up,Recruiter registration – Candidate timezone/country/city field,C71,
35,Sign Up,Recruiter registration – Redirect to candidates list after completion,C72,
36,Sign Up,Candidate registration – Role field,C65,
37,Sign Up,Candidate registration – Expectations field,C73,
38,Sign Up,Candidate registration – Experience field,C74,
39,Sign Up,Candidate registration – Bio field,C75,
40,Sign Up,Candidate registration – Contact information field,C76,
41,Sign Up,Candidate registration – Profile activation delay (24–48h before access),C77,
42,Sign In,Login form – email field,C78,
43,Sign In,Login form – password field,C79,
44,Sign In,"Login form – validation (required fields, invalid format)","C80, C81",
45,Sign In,Login form – incorrect credentials error message,"C82, C84,C85,C86,C87",
46,Sign In,Login form – successful login,C88,
47,Sign In,“Sign up” link redirects to Sign Up page,C89,
48,Sign In,“Forgot the password” link redirects to password reset page,C90,
49,Chats,Archive chat option,C91,
50,Chats,Mark chat as favourite,C92,
51,Chats,Recruiter – initiate chat from candidates list,C93,
52,Chats,Recruiter – initiate chat from profile page,C94,
53,Chats,Recruiter – candidate contacts hidden,C95,
54,Chats,Recruiter – send offer,C96,
55,Chats,Recruiter – mark chat as rejected,C100,
56,Chats,Candidate – open contacts,C98,
57,Chats,Candidate – decline sharing contacts,C98,
58,Chats,Candidate warning – must create recruiter profile,C99,
59,Profile,Dual account roles,C101,
60,Profile,Profile creation,C108,
61,Profile,Edit profile,C102,
62,Profile,Switch recruiter/candidate profiles,C104,
63,Profile,Connect social networks,C105,
64,Profile,Change password,C103,
65,Profile,Activate/deactivate profile,C106,
66,Profile,Admin – edit user profiles,C107,
67,Footer,TOP 100 Web3 companies – preview of 5,C109,
68,Footer,Vacancies section – 3 columns,C110,
69,Footer,Social links,C111,
70,Footer,Information links,C112,
71,Web3 Companies & Jobs,Table of 100 companies (groups of 10),C113,
72,Web3 Companies & Jobs,Job creation – manual,C114,
73,Web3 Companies & Jobs,Job creation – import from ATS,C115,
74,Web3 Companies & Jobs,One-click apply,C116,
75,Web3 Companies & Jobs,Vacancies filtering – skills,C117,
76,Web3 Companies & Jobs,Unauthorized – limited vacancy view,C118,
77,Web3 Companies & Jobs,Unauthorized – sign-in prompt,C119,
78,Web3 Companies & Jobs,Subscription – desired roles field,C120,
79,Web3 Companies & Jobs,Subscription – experience field,C122,
80,Web3 Companies & Jobs,Subscription – email field,C121,
